"Российская Федерация, г, Москва ДТП - всего (15,09,2017-29,09,2017)";"";"";"";"";"";"";"";"";"";"";"";
"130,0";"25,09,2017";"Первомайское поселение";"Наезд на стоящее ТС";"М-3 Украина Москва - Калуга - Брянск - граница с Украиной (основное направление)";"40";"440";"  ";"0,0";"2,0";"2,0";"3,0";
"131,0";"25,09,2017";"Первомайское поселение";"Столкновение";"";"0";"0";"д Ботаково ул Одоминовская 2";"0,0";"1,0";"2,0";"3,0";
"132,0";"25,09,2017";"Ломоносовский";"Наезд на пешехода";"";"0";"0";"г Москва ул Гарибальди 11";"0,0";"1,0";"1,0";"2,0";
"133,0";"25,09,2017";"Теплый Стан";"Столкновение";"";"0";"0";"г Москва ул Тёплый Стан 29";"0,0";"1,0";"2,0";"2,0";
"134,0";"25,09,2017";"Северное Бутово";"Наезд на велосипедиста";"";"0";"0";"п Бутово ул Новобутовская 7Б";"0,0";"1,0";"2,0";"2,0";
"135,0";"25,09,2017";"Южное Бутово";"Столкновение";"";"0";"0";"г Москва ул Бартеневская 17";"0,0";"1,0";"2,0";"3,0";
"136,0";"25,09,2017";"Ярославский";"Столкновение";"";"0";"0";"г Москва ш Ярославское 3С1";"0,0";"1,0";"2,0";"2,0";
"137,0";"25,09,2017";"Ясенево";"Падение пассажира";"";"0";"0";"г Москва пр-кт Новоясеневский 8";"0,0";"1,0";"1,0";"2,0";
"138,0";"25,09,2017";"Новокосино";"Столкновение";"";"0";"0";"г Москва ш Носовихинское 12";"0,0";"1,0";"2,0";"2,0";
"139,0";"25,09,2017";"Ивановское";"Столкновение";"Московская кольцевая автомобильная дорога (МКАД) внутренняя сторона";"107";"800";"г Москва  ";"0,0";"1,0";"4,0";"4,0";
"140,0";"25,09,2017";"Бибирево";"Наезд на пешехода";"";"0";"0";"г Москва ул Корнейчука 37";"0,0";"1,0";"1,0";"2,0";
"141,0";"25,09,2017";"Арбат";"Иной вид ДТП";"";"0";"0";"г Москва ул Новый Арбат 28";"1,0";"0,0";"1,0";"2,0";
"142,0";"25,09,2017";"Очаково-Матвеевское";"Наезд на препятствие";"Московская кольцевая автомобильная дорога (МКАД) внутренняя сторона";"52";"140";"п Матвеевское  ";"0,0";"3,0";"1,0";"3,0";
"143,0";"24,09,2017";"Гольяново";"Столкновение";"";"0";"0";"г Москва ш Щёлковское 100";"0,0";"1,0";"3,0";"3,0";
"144,0";"24,09,2017";"Южное Тушино";"Опрокидывание";"";"0";"0";"г Москва б-р Яна Райниса 29";"0,0";"1,0";"2,0";"2,0";
"145,0";"24,09,2017";"Ново-Переделкино";"Наезд на препятствие";"";"0";"0";"г Москва ул Лазенки 7-я 19";"0,0";"1,0";"1,0";"2,0";
"146,0";"24,09,2017";"Таганский";"Наезд на пешехода";"";"0";"0";"г Москва пр-кт Волгоградский 13";"0,0";"1,0";"1,0";"2,0";
"147,0";"24,09,2017";"Москворечье-Сабурово";"Столкновение";"";"0";"0";"г Москва ш Каширское 80Б";"0,0";"1,0";"2,0";"2,0";
"148,0";"24,09,2017";"Нагатинский затон";"Наезд на пешехода";"";"0";"0";"г Москва пр-кт Андропова 8";"0,0";"1,0";"1,0";"2,0";
"149,0";"24,09,2017";"Академический";"Столкновение";"";"0";"0";"г Москва пр-кт 60-летия Октября 14";"0,0";"1,0";"2,0";"2,0";
"150,0";"24,09,2017";"Бибирево";"Наезд на пешехода";"";"0";"0";"г Москва ул Лескова 25";"1,0";"0,0";"1,0";"2,0";
"151,0";"24,09,2017";"Останкинский";"Падение пассажира";"";"0";"0";"г Москва пр-кт Мира 81";"0,0";"1,0";"1,0";"2,0";
"152,0";"24,09,2017";"Митино";"Столкновение";"";"0";"0";"г Москва пер Митинский 1-й 25";"0,0";"4,0";"2,0";"4,0";
"153,0";"24,09,2017";"Черемушки";"Столкновение";"";"0";"0";"г Москва пр-кт Нахимовский улНовочерёмушкинская";"0,0";"4,0";"2,0";"5,0";
"154,0";"24,09,2017";"Ломоносовский";"Наезд на пешехода";"";"0";"0";"г Москва пр-кт Ленинский 75 9";"0,0";"1,0";"2,0";"3,0";
"155,0";"24,09,2017";"Кузьминки";"Столкновение";"";"0";"0";"г Москва пр-кт Волгоградский 139";"0,0";"1,0";"3,0";"4,0";
"156,0";"24,09,2017";"Северное Измайлово";"Наезд на пешехода";"";"0";"0";"г Москва ул Парковая 15-я 37";"0,0";"1,0";"1,0";"2,0";
"157,0";"24,09,2017";"Бутырский";"Наезд на велосипедиста";"";"0";"0";"г Москва ул Яблочкова 29";"0,0";"1,0";"2,0";"2,0";
"158,0";"24,09,2017";"Братеево";"Столкновение";"Московская кольцевая автомобильная дорога (МКАД) внешняя сторона";"18";"900";"г Москва  ";"0,0";"1,0";"2,0";"3,0";
"159,0";"24,09,2017";"Бирюлево Восточное";"Наезд на пешехода";"Московская кольцевая автомобильная дорога (МКАД) внутренняя сторона";"22";"100";"г Москва  ";"1,0";"0,0";"3,0";"3,0";
"160,0";"24,09,2017";"Орехово-Борисово Северное";"Столкновение";"";"0";"0";"г Москва ш Каширское 80Б";"0,0";"1,0";"2,0";"2,0";
"161,0";"24,09,2017";"Крюково";"Наезд на велосипедиста";"";"0";"0";"г Зеленоград ул Логвиненко 1447";"0,0";"1,0";"2,0";"2,0";
"162,0";"24,09,2017";"ГУ МВД 2 СП ДПС 2 бат,";"Столкновение";"А-109 Ильинское шоссе";"7";"0";"г Москва  ";"0,0";"3,0";"3,0";"5,0";
"163,0";"24,09,2017";"Ломоносовский";"Столкновение";"";"0";"0";"г Москва пр-кт Вернадского 33";"0,0";"1,0";"2,0";"3,0";
"164,0";"24,09,2017";"Богородское";"Столкновение";"";"0";"0";"г Москва ул Богородский Вал 3с34";"0,0";"1,0";"2,0";"2,0";
"165,0";"24,09,2017";"Северный";"Столкновение";"";"0";"0";"г Москва ш Дмитровское 165Д корп, 2";"0,0";"1,0";"2,0";"2,0";
"166,0";"24,09,2017";"Коптево";"Столкновение";"";"0";"0";"г Москва ул Академическая Б, 79 корп,1";"0,0";"1,0";"2,0";"3,0";
"167,0";"24,09,2017";"Отрадное";"Наезд на пешехода";"";"0";"0";"г Москва проезд Якушкина 8";"0,0";"1,0";"1,0";"2,0";
"168,0";"24,09,2017";"Северное Медведково";"Столкновение";"";"0";"0";"г Москва ул Осташковская 22";"0,0";"1,0";"2,0";"2,0";
"169,0";"24,09,2017";"Марьина роща";"Столкновение";"";"0";"0";"г Москва пл Рижская 3";"0,0";"1,0";"2,0";"2,0";
"170,0";"24,09,2017";"Пресненский";"Столкновение";"";"0";"0";"г Москва проезд Шмитовский 15";"0,0";"1,0";"2,0";"2,0";
